accident_reference,date_of_collision,time_of_collision,collision_severity,easting,northing,first_road_class,second_road_class,division,local_authority,cycle_involved
0914642,01-Jan-20,2:51:00 AM,Slight,323358,657433,A,#NULL!,The Lothians and Scottish Borders,Midlothian,
0914656,01-Jan-20,7:48:00 AM,Serious,328344,674151,A,A,Edinburgh,City of Edinburgh,
0914685,01-Jan-20,4:15:00 PM,Serious,251672,669243,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0914694,01-Jan-20,4:34:00 PM,Serious,250320,835075,A,Unclass,Highland and Islands,Highland,
0914700,01-Jan-20,4:00:00 AM,Slight,187099,688602,Unclassified,#NULL!,Argyll and West Dunbartonshire,Argyll & Bute,
0915011,01-Jan-20,9:26:00 PM,Fatal,278851,655053,Unclassified,Unclass,Lanarkshire,North Lanarkshire,
0915021,02-Jan-20,4:00:00 PM,Slight,276914,648279,A,B,Lanarkshire,South Lanarkshire,
0915030,02-Jan-20,7:55:00 PM,Slight,253198,669296,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0915045,03-Jan-20,12:38:00 AM,Slight,261880,664975,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0915091,02-Jan-20,12:45:00 PM,Slight,211532,757129,A,#NULL!,Highland and Islands,Highland,
0915179,03-Jan-20,7:40:00 AM,Serious,295127,657417,A,#NULL!,The Lothians and Scottish Borders,West Lothian,Involving at least 1 x Pedal Cycle
0915269,03-Jan-20,12:00:00 PM,Slight,231411,653541,Unclassified,Unclass,Ayrshire,North Ayrshire,
0915286,03-Jan-20,1:40:00 PM,Slight,253387,659525,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0915315,03-Jan-20,4:30:00 PM,Slight,253160,661518,B,Unclass,Greater Glasgow,Glasgow City,
0915343,03-Jan-20,2:30:00 PM,Serious,284143,651871,A,#NULL!,Lanarkshire,South Lanarkshire,
0915347,02-Jan-20,1:30:00 PM,Slight,310771,573545,B,#NULL!,Dumfries and Galloway,Dumfries & Galloway,
0915350,03-Jan-20,2:05:00 PM,Serious,319258,575126,A(M),#NULL!,Dumfries and Galloway,Dumfries & Galloway,
0915353,03-Jan-20,3:40:00 PM,Serious,333659,734899,B,#NULL!,Tayside,Angus,
0915361,03-Jan-20,7:15:00 PM,Slight,250771,686999,A,Unclass,Forth Valley,Stirling,
0915383,03-Jan-20,1:15:00 PM,Slight,285307,675112,B,#NULL!,Forth Valley,Falkirk,
0915470,04-Jan-20,6:15:00 PM,Slight,242874,636182,Unclassified,B,Ayrshire,East Ayrshire,
0915471,04-Jan-20,5:55:00 PM,Slight,247872,663679,Unclassified,#NULL!,Renfrewshire and Inverclyde,Renfrewshire,Involving at least 1 x Pedal Cycle
0915480,04-Jan-20,12:18:00 AM,Slight,318124,675077,Unclassified,A,Edinburgh,City of Edinburgh,
0915481,04-Jan-20,3:30:00 PM,Slight,228738,682543,A,#NULL!,Argyll and West Dunbartonshire,Argyll & Bute,
0915495,04-Jan-20,11:20:00 PM,Slight,312912,678393,B,Unclass,Edinburgh,City of Edinburgh,
0915502,04-Jan-20,11:45:00 AM,Slight,319227,673580,B,Unclass,Edinburgh,City of Edinburgh,
0915541,04-Jan-20,7:45:00 PM,Slight,262309,664823,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0915571,05-Jan-20,6:17:00 PM,Slight,225604,704159,A,#NULL!,Argyll and West Dunbartonshire,Argyll & Bute,
0915579,05-Jan-20,7:50:00 PM,Slight,317996,691905,A,#NULL!,Fife,Fife,
0915582,03-Jan-20,4:45:00 PM,Serious,386839,780100,A,Unclass,North East,Aberdeenshire,
0915587,05-Jan-20,12:30:00 AM,Slight,254566,669742,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0916046,06-Jan-20,4:00:00 PM,Slight,271571,658182,MOTORWAY,#NULL!,Lanarkshire,North Lanarkshire,
